1,128,32,290645,17228
1,128,32,290645,17228
1,128,64,28889,5413
1,128,32,290645,17228
1,128,64,28889,5413
1,128,128,22939,3730
2,128,32,290645,17228
2,128,64,28889,5413
2,128,128,22939,3730
2,128,256,22445,3215
4,128,32,290645,17228
4,128,64,28889,5413
4,128,128,22939,3730
4,128,256,22445,3215
4,128,512,22797,3144
8,128,32,290645,17228
8,128,64,28889,5413
8,128,128,22939,3730
8,128,256,22445,3215
8,128,512,22797,3144
8,128,1024,24656,3258
16,128,32,290645,17228
16,128,64,28889,5413
16,128,128,22939,3730
16,128,256,22445,3215
16,128,512,22797,3144
16,128,1024,24656,3258
16,128,2048,28365,2991
32,128,32,290645,17228
32,128,64,28889,5413
32,128,128,22939,3730
32,128,256,22445,3215
32,128,512,22797,3144
32,128,1024,24656,3258
32,128,2048,28365,2991
32,128,4096,40686,2972
64,128,32,290645,17228
64,128,64,28889,5413
64,128,128,22939,3730
64,128,256,22445,3215
64,128,512,22797,3144
64,128,1024,24656,3258
64,128,2048,28365,2991
64,128,4096,40686,2972
64,128,8192,62797,3196
128,128,32,290645,17228
128,128,64,28889,5413
128,128,128,22939,3730
128,128,256,22445,3215
128,128,512,22797,3144
128,128,1024,24656,3258
128,128,2048,28365,2991
128,128,4096,40686,2972
128,128,8192,62797,3196
128,128,16384,108063,3339
256,128,32,290645,17228
256,128,64,28889,5413
256,128,128,22939,3730
256,128,256,22445,3215
256,128,512,22797,3144
256,128,1024,24656,3258
256,128,2048,28365,2991
256,128,4096,40686,2972
256,128,8192,62797,3196
256,128,16384,108063,3339
256,128,32768,206314,5063
512,128,32,290645,17228
512,128,64,28889,5413
512,128,128,22939,3730
512,128,256,22445,3215
512,128,512,22797,3144
512,128,1024,24656,3258
512,128,2048,28365,2991
512,128,4096,40686,2972
512,128,8192,62797,3196
512,128,16384,108063,3339
512,128,32768,206314,5063
512,128,65536,373064,5198
1024,128,32,290645,17228
1024,128,64,28889,5413
1024,128,128,22939,3730
1024,128,256,22445,3215
1024,128,512,22797,3144
1024,128,1024,24656,3258
1024,128,2048,28365,2991
1024,128,4096,40686,2972
1024,128,8192,62797,3196
1024,128,16384,108063,3339
1024,128,32768,206314,5063
1024,128,65536,373064,5198
1024,128,131072,781823,16999
2048,128,32,290645,17228
2048,128,64,28889,5413
2048,128,128,22939,3730
2048,128,256,22445,3215
2048,128,512,22797,3144
2048,128,1024,24656,3258
2048,128,2048,28365,2991
2048,128,4096,40686,2972
2048,128,8192,62797,3196
2048,128,16384,108063,3339
2048,128,32768,206314,5063
2048,128,65536,373064,5198
2048,128,131072,781823,16999
2048,128,262144,1654575,16322
4096,128,32,290645,17228
4096,128,64,28889,5413
4096,128,128,22939,3730
4096,128,256,22445,3215
4096,128,512,22797,3144
4096,128,1024,24656,3258
4096,128,2048,28365,2991
4096,128,4096,40686,2972
4096,128,8192,62797,3196
4096,128,16384,108063,3339
4096,128,32768,206314,5063
4096,128,65536,373064,5198
4096,128,131072,781823,16999
4096,128,262144,1654575,16322
4096,128,524288,3150981,43699
8192,128,32,290645,17228
8192,128,64,28889,5413
8192,128,128,22939,3730
8192,128,256,22445,3215
8192,128,512,22797,3144
8192,128,1024,24656,3258
8192,128,2048,28365,2991
8192,128,4096,40686,2972
8192,128,8192,62797,3196
8192,128,16384,108063,3339
8192,128,32768,206314,5063
8192,128,65536,373064,5198
8192,128,131072,781823,16999
8192,128,262144,1654575,16322
8192,128,524288,3150981,43699
8192,128,1048576,6160490,31137
